"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2020","17.938","17.913","18.000","17.913","-","0.09%"
"Dec 31, 2019","17.921","17.970","18.200","17.870","62.11K","-0.44%"
"Dec 30, 2019","18.001","17.860","18.020","17.830","62.95K","0.69%"
"Dec 29, 2019","17.878","17.835","17.887","17.835","-","-0.36%"
"Dec 27, 2019","17.943","17.995","18.050","17.815","70.18K","-0.26%"
"Dec 26, 2019","17.990","17.830","18.135","17.810","89.08K","0.89%"
"Dec 25, 2019","17.832","17.850","17.863","17.808","-","-0.12%"
"Dec 24, 2019","17.853","17.515","17.865","17.425","64.68K","2.02%"
"Dec 23, 2019","17.499","17.230","17.520","17.230","65.08K","1.46%"
"Dec 22, 2019","17.247","17.262","17.262","17.238","-","0.13%"
"Dec 20, 2019","17.224","17.115","17.315","17.080","65.65K","0.41%"
"Dec 19, 2019","17.154","17.065","17.180","16.950","47.39K","0.62%"
"Dec 18, 2019","17.049","17.060","17.125","16.935","47.19K","-0.13%"
"Dec 17, 2019","17.072","17.105","17.170","17.015","45.74K","-0.24%"
"Dec 16, 2019","17.113","17.005","17.140","16.955","48.65K","0.77%"
"Dec 15, 2019","16.983","17.000","17.027","16.980","-","-0.17%"
"Dec 13, 2019","17.012","16.970","17.095","16.895","77.90K","0.37%"
"Dec 12, 2019","16.949","16.930","17.185","16.820","113.42K","0.59%"
"Dec 11, 2019","16.849","16.710","17.025","16.650","62.67K","0.88%"
"Dec 10, 2019","16.702","16.655","16.770","16.625","50.20K","0.36%"
"Dec 09, 2019","16.642","16.600","16.730","16.565","53.51K","0.03%"
"Dec 08, 2019","16.637","16.602","16.637","16.598","-","0.25%"
"Dec 06, 2019","16.596","17.020","17.125","16.575","110.18K","-2.71%"
"Dec 05, 2019","17.059","16.920","17.075","16.870","69.27K","0.85%"
"Dec 04, 2019","16.916","17.250","17.415","16.865","112.99K","-1.92%"
"Dec 03, 2019","17.248","16.980","17.285","16.945","90.11K","1.66%"
"Dec 02, 2019","16.966","17.070","17.100","16.895","71.95K","-0.56%"
"Dec 01, 2019","17.062","17.098","17.102","17.052","-","-0.26%"
"Nov 29, 2019","17.106","17.060","17.125","16.935","69.20K","0.43%"
"Nov 28, 2019","17.032","17.080","17.102","17.003","-","-0.13%"
"Nov 27, 2019","17.055","17.190","17.200","17.025","61.62K","-0.77%"
"Nov 26, 2019","17.188","16.820","17.225","16.820","56.28K","0.93%"
"Nov 25, 2019","17.030","17.100","17.115","16.965","33.56K","-0.01%"
"Nov 24, 2019","17.032","17.155","17.155","17.010","-","-0.67%"
"Nov 22, 2019","17.147","17.220","17.355","17.100","25.74K","-0.37%"
"Nov 21, 2019","17.211","17.280","17.310","17.155","30.87K","-0.29%"
"Nov 20, 2019","17.261","17.275","17.325","17.150","23.13K","-0.02%"
"Nov 19, 2019","17.265","17.145","17.300","17.080","21.16K","0.71%"
"Nov 18, 2019","17.143","17.095","17.170","16.850","17.15K","1.07%"
"Nov 17, 2019","16.962","16.935","16.968","16.933","-","-0.76%"
"Nov 15, 2019","17.092","17.135","17.150","16.920","8.56K","-0.47%"
"Nov 14, 2019","17.172","17.080","17.225","16.995","11.07K","0.67%"
"Nov 13, 2019","17.057","16.910","17.140","16.910","19.63K","1.32%"
"Nov 12, 2019","16.835","16.960","17.000","16.760","16.71K","-0.67%"
"Nov 11, 2019","16.948","16.925","17.050","16.780","15.25K","0.87%"
"Nov 10, 2019","16.802","16.762","16.808","16.758","-","-0.98%"
"Nov 08, 2019","16.969","17.225","17.235","16.805","15.47K","-1.10%"
"Nov 07, 2019","17.157","17.760","17.790","17.055","20.21K","-3.34%"
"Nov 06, 2019","17.749","17.715","17.780","17.520","6.85K","0.17%"
"Nov 05, 2019","17.718","18.205","18.235","17.670","7.72K","-2.76%"
"Nov 04, 2019","18.220","18.250","18.380","18.115","3.10K","0.54%"
"Nov 03, 2019","18.122","18.110","18.133","18.090","-","-0.46%"
"Nov 01, 2019","18.206","18.230","18.295","18.095","8.12K","-0.08%"
"Oct 31, 2019","18.220","18.005","18.335","17.960","2.91K","1.11%"
"Oct 30, 2019","18.020","17.970","18.115","17.740","2.20K","0.20%"
"Oct 29, 2019","17.984","18.005","18.055","17.770","2.79K","-0.25%"
"Oct 28, 2019","18.029","18.210","18.270","17.955","4.09K","-0.02%"
"Oct 27, 2019","18.032","18.038","18.062","18.010","-","-0.25%"
"Oct 25, 2019","18.077","17.955","18.495","17.950","3.64K","0.69%"
"Oct 24, 2019","17.953","17.725","18.000","17.645","1.61K","1.28%"
"Oct 23, 2019","17.726","17.710","17.765","17.690","2.69K","0.46%"
"Oct 22, 2019","17.644","17.700","17.805","17.590","0.87K","-0.57%"
"Oct 21, 2019","17.745","17.735","18.035","17.685","1.15K","0.86%"
"Oct 20, 2019","17.593","17.570","17.605","17.565","-","-0.71%"
"Oct 18, 2019","17.719","17.695","17.755","17.580","0.78K","-0.19%"
"Oct 17, 2019","17.752","17.540","17.805","17.485","1.13K","1.07%"
"Oct 16, 2019","17.564","17.565","17.610","17.320","1.44K","0.25%"
"Oct 15, 2019","17.520","17.860","17.875","17.515","0.63K","-1.83%"
"Oct 14, 2019","17.847","17.635","17.860","17.605","0.45K","1.91%"
"Oct 13, 2019","17.512","17.535","17.595","17.497","-","-0.96%"
"Oct 11, 2019","17.681","17.685","17.920","17.520","1.97K","-0.33%"
"Oct 10, 2019","17.739","17.945","18.060","17.600","2.16K","-1.16%"
"Oct 09, 2019","17.947","17.970","18.100","17.885","2.20K","0.63%"
"Oct 08, 2019","17.835","17.625","17.985","17.455","1.43K","0.91%"
"Oct 07, 2019","17.674","17.745","17.765","17.580","1.45K","0.33%"
"Oct 06, 2019","17.615","17.598","17.688","17.580","-","-0.80%"
"Oct 04, 2019","17.757","17.770","17.850","17.460","0.60K","-0.29%"
"Oct 03, 2019","17.808","17.740","17.970","17.655","1.81K","-0.04%"
"Oct 02, 2019","17.816","17.425","17.860","17.395","1.47K","2.19%"
"Oct 01, 2019","17.434","17.185","17.500","17.075","2.00K","1.77%"
"Sep 30, 2019","17.130","17.770","17.770","17.120","3.60K","-2.55%"
"Sep 29, 2019","17.578","17.595","17.657","17.555","-","-1.18%"
"Sep 27, 2019","17.787","18.015","18.065","17.490","4.87K","-1.44%"
"Sep 26, 2019","18.047","18.110","18.235","17.925","1.25K","-0.88%"
"Sep 25, 2019","18.208","18.850","18.885","18.015","1.67K","-2.96%"
"Sep 24, 2019","18.764","18.850","18.930","18.455","1.59K","-0.44%"
